Unnamed: 0,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W],Multipliers,User Design Load [W]_floor
2F_KITCHEN_2,31594.98,36334.22,258.11,2.3569999999999998,2.7110000000000003,ANN CLG .4% CONDNS DB=>MWB,7/21 17:10:00,24.0,23.95,0.01427,31.52,0.02079,0.225,0.0,1.0,36334.22
2F_RESTAURANT_DINING_ROOM_2,21127.76,24296.92,156.31,1.5759999999999998,1.8130000000000002,ANN CLG .4% CONDNS DB=>MWB,7/21 17:50:00,24.0,23.99,0.00949,31.27,0.02079,1.244,0.0,1.0,24296.92
1F_RETAIL-SALES_AREA_2,12370.04,14225.55,91.48,0.9229999999999999,1.061,ANN CLG .4% CONDNS DB=>MWB,7/21 17:50:00,24.0,24.0,0.00868,31.27,0.02079,0.35,0.0,1.0,14225.55
1F_RETAIL-SALES_AREA_3,11475.02,13196.27,104.22,0.856,0.9840000000000001,ANN CLG .4% CONDNS DB=>MWB,7/21 17:50:00,24.0,24.0,0.00859,31.27,0.02079,0.285,0.0,1.0,13196.27
2F_RETAIL-MALL_CONCOURSE,24765.84,28480.72,60.25,1.848,2.125,ANN CLG .4% CONDNS DB=>MWB,7/21 18:20:00,24.0,24.0,0.009590000000000001,31.02,0.02079,1.5130000000000001,0.0,1.0,28480.72
2F_KITCHEN,15016.06,17268.47,235.8,1.12,1.288,ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,24.0,23.95,0.01456,32.1,0.02079,0.11699999999999999,0.0,1.0,17268.47
4F_LIFT_LOBBY,871.69,1002.44,104.15,0.065,0.075,ANN CLG .4% CONDNS DB=>MWB,7/21 12:00:00,24.0,24.0,0.0087,31.62,0.02079,0.023,0.0,1.0,1002.44
4F_KITCHEN,30897.41,35532.02,252.62,2.305,2.6510000000000002,ANN CLG .4% CONDNS DB=>MWB,7/21 17:10:00,24.0,23.95,0.01434,31.52,0.02079,0.225,0.0,1.0,35532.02
4F_RESTAURANT_DINING_ROOM,10458.4,12027.16,132.2,0.78,0.897,ANN CLG .4% CONDNS DB=>MWB,7/21 18:00:00,24.0,23.99,0.009770000000000001,31.2,0.02079,0.728,0.0,1.0,12027.16
4F_RESTAURANT_DINING_ROOM_2,10381.07,11938.23,172.63,0.774,0.8909999999999999,ANN CLG .4% CONDNS DB=>MWB,7/21 17:50:00,24.0,23.99,0.00935,31.27,0.02079,0.5529999999999999,0.0,1.0,11938.23
