,Chiller_consumption[kWh],Light_Consumption [kWh],Small Power_Equipment Sensible Heat Addition [kWh],Pump_consumption[kWh],CoolingTower_consumption[kWh],HVAC_consumption[kWh],Total Consumption[kWh],Zone Area [m2],EUI [kWh/m2]
4F_VOID,1676.8192098235068,0.0,0.0,391.1044119580366,0.0,503.2338728965831,2571.1574946781266,0.0,inf
2F_RESTAURANT_DINING_ROOM,15790.079186856061,5742.08,8444.258,3682.9072561711537,0.0,4738.795128296312,38398.11957132352,97.21,395.0017443814785
4F_RESTAURANT_DINING_ROOM_3,75279.97740508709,27893.6,41020.084,17558.44107864784,0.0,22592.43832560617,184344.54080934112,472.2,390.3950461866606
4F_RESTAURANT_DINING_ROOM_2,10986.869600001373,4085.16,6007.601,2562.59777380559,0.0,3297.293415669048,26939.521789476006,69.16,389.52460655691164
4F_RESTAURANT_DINING_ROOM_4,29767.308144416846,11121.62,16355.348,6942.981973960816,0.0,8933.531817540186,73120.78993591784,188.27,388.3825884948098
2F_RESTAURANT_DINING_ROOM_2,24134.6496665741,9181.96,13502.908,5629.210299094919,0.0,7243.102387877982,59691.830353547004,155.44,384.01846599039504
2F_RESTAURANT_DINING_ROOM_3,73099.76084368087,27892.01,41017.735,17049.92333791913,0.0,21938.12877480778,180997.55795640778,472.17,383.33133819685236
3F_RESTAURANT_DINING_ROOM_4,72850.35812926486,27893.6,41020.084,16991.752187808866,0.0,21863.27998183642,180619.07429891013,472.2,382.50545171306675
3F_RESTAURANT_DINING_ROOM,10614.23152369699,4085.16,6007.601,2475.6829800983182,0.0,3185.4601892670644,26368.135693062373,69.16,381.262806435257
1F_RESTAURANT_DINING_ROOM,39688.55137701836,15324.03,22535.375,9257.03108411365,0.0,11911.017778245863,98716.00523937788,259.41,380.5404773886044
4F_RESTAURANT_DINING_ROOM,13767.597882882432,5374.03,7903.001999999998,3211.179978446332,0.0,4131.823849880015,34387.63371120878,90.97,378.01070365184984
3F_RESTAURANT_DINING_ROOM_5,28412.62003132319,11121.62,16355.348,6627.012014436196,0.0,8526.973411168612,71043.57345692799,188.27,377.3494101924257
3F_RESTAURANT_DINING_ROOM_3,61301.15941703763,24439.25,35940.148,14297.995732449808,0.0,18397.224748954108,154375.77789844153,413.72,373.1407181147673
3F_RESTAURANT_DINING_ROOM_2,13318.36520047678,5374.03,7903.001999999998,3106.400117233335,0.0,3997.0036490650964,33698.800966775205,90.97,370.43861676129717
3F_KITCHEN_2,8067.45357213336,1839.28,1915.916,1881.6677831714974,0.0,2421.1410996092773,16125.458454914133,44.11,365.57375776273255
1F_RESTAURANT_DINING_ROOM_2,57385.42127276811,23775.5,34964.042,13384.681729768878,0.0,17222.064027961987,146731.70903049898,402.49,364.55988727794227
4F_KITCHEN_3,7895.992594652868,1839.28,1915.916,1841.6759078528003,0.0,2369.6835714257686,15862.548073931437,44.11,359.6134226690419
1F_KITCHEN,12831.233515313588,3014.91,3140.535,2992.7806225640616,0.0,3850.8094958140045,25830.268633691652,72.3,357.2651263304516
4F_RETAIL-SALES_AREA,44968.02801800473,24439.25,53910.222,10488.425974524345,0.0,13495.453035992137,147301.37902852122,413.72,356.0412332701373
2F_RETAIL-SALES_AREA,43771.70493558197,24439.25,53910.222,10209.393367477802,0.0,13136.421904623749,145466.99220768354,413.72,351.60734846679765
2F_KITCHEN_2,23878.603053028273,5869.68,6114.258000000002,5569.489513670934,0.0,7166.25967983775,48598.290246536955,140.77,345.23186933676885
1F_RETAIL-SALES_AREA_3,12775.171185054223,7479.39,16498.686,2979.704541027881,0.0,3833.9845075178623,43566.93623359996,126.62,344.0762615195069
1F_RETAIL-SALES_AREA,17524.387100763415,10293.92,22707.215,4087.4204397327244,0.0,5259.282061650716,59872.22460214685,174.26,343.5798496622682
3F_KITCHEN_4,23440.260025756324,5864.92,6109.301,5467.24957574993,0.0,7034.70759719284,47916.43819869909,140.65,340.6785510039039
1F_RETAIL-SALES_AREA_2,15282.373519013994,9186.18,20263.665,3564.4890477525882,0.0,4586.4264721985555,52883.13403896514,155.51,340.0625942959626
4F_KITCHEN,23335.104577695816,5864.92,6109.301,5442.722924673325,0.0,7003.149166162439,47755.19766853158,140.65,339.5321554819167
2F_KITCHEN,12048.496281735503,3053.7,3180.947,2810.213543380588,0.0,3615.900516237538,24709.25734135363,73.23,337.41987356757653
1F_KITCHEN_2,7897.715087019859,2001.82,2085.238,1842.077665156359,0.0,2370.2005123695494,16197.051264545767,48.01,337.36828295242174
3F_KITCHEN_3,11859.59350503282,3053.7,3180.947,2766.1535105716134,0.0,3559.2084916208737,24419.602507225307,73.23,333.464461385024
4F_KITCHEN_2,11778.448683017778,3053.7,3180.947,2747.227142295469,0.0,3534.8559419787257,24295.178767291975,73.23,331.76537986196877
