,Construction,Glass Area [m2],Frame Area [m2],Divider Area [m2],Area of One Opening [m2],Area of Multiplied Openings [m2],Glass U-Factor [W/m2-K],Glass SHGC,Glass Visible Transmittance,Frame Conductance [W/m2-K],Divider Conductance [W/m2-K],Shade Control,Parent Surface,Azimuth [deg],Tilt [deg],Cardinal Direction
2F_KITCHEN_1_GLZ_0_E1352214D2CD4B379DFC,GLAZING,6.07,0.0,0.0,6.07,6.07,1.6,0.579,0.601, , ,No,2F_KITCHEN_1,166.25,90.0,S
2F_KITCHEN_2_GLZ_0_803CFEDA5ED64318A891,GLAZING,1.65,0.0,0.0,1.65,1.65,1.6,0.579,0.601, , ,No,2F_KITCHEN_2,173.42,90.0,S
5F_ELECTRICAL_MECHANICAL_ROOM_2_GLZ_0_BFF2AFEE0E7A48969DD1,GLAZING,22.26,0.0,0.0,22.26,22.26,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_2,237.97,90.0,W
5F_ELECTRICAL_MECHANICAL_ROOM_3_GLZ_0_0E0EC8432C74418EA3D1,GLAZING,12.28,0.0,0.0,12.28,12.28,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_3,148.18,90.0,S
5F_ELECTRICAL_MECHANICAL_ROOM_4_GLZ_0_690385C8F8C8461EA77F,GLAZING,22.26,0.0,0.0,22.26,22.26,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_4,58.1,90.0,E
5F_ELECTRICAL_MECHANICAL_ROOM_2_1_GLZ_0_1DD24F4E199E439FADA1,GLAZING,7.82,0.0,0.0,7.82,7.82,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_2_1,239.33,90.0,W
5F_ELECTRICAL_MECHANICAL_ROOM_2_2_GLZ_0_C55CD3A824F2451BB336,GLAZING,13.68,0.0,0.0,13.68,13.68,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_2_2,238.85,90.0,W
5F_ELECTRICAL_MECHANICAL_ROOM_2_3_GLZ_0_1CE65DFE4BBB4052AF7B,GLAZING,10.11,0.0,0.0,10.11,10.11,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_2_3,315.65,90.0,N
5F_ELECTRICAL_MECHANICAL_ROOM_2_4_GLZ_0_249BB46C1FCD4D888D3C,GLAZING,3.83,0.0,0.0,3.83,3.83,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_2_4,26.39,90.0,N
5F_ELECTRICAL_MECHANICAL_ROOM_2_5_GLZ_0_66F67EB5FE214333979B,GLAZING,20.48,0.0,0.0,20.48,20.48,1.6,0.579,0.601, , ,No,5F_ELECTRICAL_MECHANICAL_ROOM_2_5,58.1,90.0,E
5F_LIFT_1_GLZ_0_5C0921938AB244CEAD97,GLAZING,4.55,0.0,0.0,4.55,4.55,1.6,0.579,0.601, , ,No,5F_LIFT_1,239.31,90.0,W
5F_LIFT_3_GLZ_0_3E2A8E1C50854CF1AC3F,GLAZING,4.5,0.0,0.0,4.5,4.5,1.6,0.579,0.601, , ,No,5F_LIFT_3,58.1,90.0,E
4F_ELECTRICAL_MECHANICAL_ROOM_1_GLZ_0_364700011E964E10902F,GLAZING,3.86,0.0,0.0,3.86,3.86,1.6,0.579,0.601, , ,No,4F_ELECTRICAL_MECHANICAL_ROOM_1,166.25,90.0,S
4F_LIFT_1_GLZ_0_667FC5C92A31482FA236,GLAZING,3.39,0.0,0.0,3.39,3.39,1.6,0.579,0.601, , ,No,4F_LIFT_1,165.69,90.0,S
4F_LIFT_LOBBY_1_GLZ_0_1F83286A9D694D91B94E,GLAZING,2.3,0.0,0.0,2.3,2.3,1.6,0.579,0.601, , ,No,4F_LIFT_LOBBY_1,150.0,90.0,S
4F_KITCHEN_1_GLZ_0_46ABC2091A404AE09A8C,GLAZING,16.8,0.0,0.0,16.8,16.8,1.6,0.579,0.601, , ,No,4F_KITCHEN_1,318.07,90.0,N
4F_RESTAURANT_DINING_ROOM_6_GLZ_0_FC22D426C4A047A3BD1C,GLAZING,5.94,0.0,0.0,5.94,5.94,1.6,0.579,0.601, , ,No,4F_RESTAURANT_DINING_ROOM_6,318.07,90.0,N
4F_RESTAURANT_DINING_ROOM_2_1_GLZ_0_CB198C5AB16C4D429C6E,GLAZING,13.76,0.0,0.0,13.76,13.76,1.6,0.579,0.601, , ,No,4F_RESTAURANT_DINING_ROOM_2_1,318.07,90.0,N
