Unnamed: 0,HVAC Zone Eq & Other Sensible Air Heating [kWh],HVAC Zone Eq & Other Sensible Air Cooling [kWh],HVAC Terminal Unit Sensible Air Heating [kWh],HVAC Terminal Unit Sensible Air Cooling [kWh],HVAC Input Heated Surface Heating [kWh],HVAC Input Cooled Surface Cooling [kWh],People Sensible Heat Addition [kWh],Lights Sensible Heat Addition [kWh],Equipment Sensible Heat Addition [kWh],Window Heat Addition [kWh],Interzone Air Transfer Heat Addition [kWh],Infiltration Heat Addition [kWh],Opaque Surface Conduction and Other Heat Addition [kWh],Equipment Sensible Heat Removal [kWh],Window Heat Removal [kWh],Interzone Air Transfer Heat Removal [kWh],Infiltration Heat Removal [kWh],Opaque Surface Conduction and Other Heat Removal [kWh],Multipliers,Window Heat Addition [kWh]_floor
2F_KITCHEN_2,0.0,0.0,11.412,-57253.45,0.0,0.0,6430.72,5869.688,6114.258000000001,4902.152,0.0,32602.982999999997,4796.833,0.0,-363.67,0.0,-3110.93,-0.0,1.0,4902.152
5F_ELECTRICAL_MECHANICAL_ROOM_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8089.3369999999995,10111.671999999999,14121.861,0.0,19.424,860.633,0.0,-1036.2,0.0,-32166.73,0.0,1.0,14121.861
4F_STAIRWAY_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.381,0.0,2965.8179999999998,0.0,0.184,0.016,0.0,-340.38,0.0,-86.48,-3658.53,1.0,2965.8179999999998
2F_STAIRWAY_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.4089999999999,0.0,1034.743,0.0,7.296,0.036000000000000004,0.0,-139.92,0.0,-83.94,-2063.59,1.0,1034.743
2F_RESTAURANT_DINING_ROOM_2,0.0,0.0,0.0,-57867.37,0.0,0.0,33258.779,9181.976999999999,13502.908000000001,5514.035,0.0,83.057,0.16699999999999998,0.0,-601.17,0.0,-232.88,-2839.34,1.0,5514.035
1F_STAIRWAY_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.934,0.0,3245.2340000000004,0.0,4.155,0.033,0.0,-358.59,0.0,-82.48,-3925.26,1.0,3245.2340000000004
1F_RETAIL-SALES_AREA_2,0.0,0.0,0.0,-36642.37,0.0,0.0,7837.128000000001,9186.195,20263.665,3620.9,0.0,85.984,0.147,0.0,-394.11,0.0,-226.89,-3730.51,1.0,3620.9
1F_RETAIL-SALES_AREA_3,0.0,0.0,0.0,-30630.88,0.0,0.0,6385.328,7479.404,16498.686,4077.2340000000004,0.0,68.639,0.092,0.0,-443.41,0.0,-180.82,-3254.18,1.0,4077.2340000000004
1F_ELECTRICAL_MECHANICAL_ROOM_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6542.139,8177.674,4565.524,0.0,43.248999999999995,0.013000000000000001,0.0,-412.33,0.0,-16854.69,-2061.56,1.0,4565.524
1F_ELECTRICAL_MECHANICAL_ROOM_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.987,927.4830000000001,0.0,0.0,58.601000000000006,41.933,0.0,0.0,0.0,-1770.0,-0.06,1.0,0.0
