,Construction,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
2F_KITCHEN_1,EXTERNAL WALL,0.3,0.401,0.426,33.71,27.65,166.25,90.0,S
2F_KITCHEN_2,EXTERNAL WALL,0.3,0.401,0.426,9.15,7.5,173.42,90.0,S
5F_ELECTRICAL_MECHANICAL_ROOM_2,EXTERNAL WALL,0.3,0.401,0.426,123.64,101.39,237.97,90.0,W
5F_ELECTRICAL_MECHANICAL_ROOM_3,EXTERNAL WALL,0.3,0.401,0.426,68.22,55.94,148.18,90.0,S
5F_ELECTRICAL_MECHANICAL_ROOM_4,EXTERNAL WALL,0.3,0.401,0.426,123.67,101.41,58.1,90.0,E
5F_ELECTRICAL_MECHANICAL_ROOM_5,ROOF,0.3,1.225,1.473,234.82,234.82,58.1,0.0, 
5F_ELECTRICAL_MECHANICAL_ROOM_2_1,EXTERNAL WALL,0.3,0.401,0.426,43.43,35.61,239.33,90.0,W
5F_ELECTRICAL_MECHANICAL_ROOM_2_2,EXTERNAL WALL,0.3,0.401,0.426,76.02,62.34,238.85,90.0,W
5F_ELECTRICAL_MECHANICAL_ROOM_2_3,EXTERNAL WALL,0.3,0.401,0.426,56.17,46.06,315.65,90.0,N
5F_ELECTRICAL_MECHANICAL_ROOM_2_4,EXTERNAL WALL,0.3,0.401,0.426,21.3,17.46,26.39,90.0,N
5F_ELECTRICAL_MECHANICAL_ROOM_2_5,EXTERNAL WALL,0.3,0.401,0.426,113.77,93.29,58.1,90.0,E
5F_ELECTRICAL_MECHANICAL_ROOM_2_7,ROOF,0.3,1.225,1.473,232.8,232.8,58.1,0.0, 
5F_LIFT_1,EXTERNAL WALL,0.3,0.401,0.426,25.25,20.71,239.31,90.0,W
5F_LIFT_3,EXTERNAL WALL,0.3,0.401,0.426,24.98,20.48,58.1,90.0,E
5F_LIFT_5,ROOF,0.3,1.225,1.473,47.6,47.6,58.1,0.0, 
4F_ELECTRICAL_MECHANICAL_ROOM_1,EXTERNAL WALL,0.3,0.401,0.426,21.47,17.6,166.25,90.0,S
4F_LIFT_1,EXTERNAL WALL,0.3,0.401,0.426,18.83,15.44,165.69,90.0,S
4F_LIFT_LOBBY_1,EXTERNAL WALL,0.3,0.401,0.426,12.78,10.48,150.0,90.0,S
4F_KITCHEN_1,EXTERNAL WALL,0.3,0.401,0.426,93.36,76.55,318.07,90.0,N
4F_RESTAURANT_DINING_ROOM_6,EXTERNAL WALL,0.3,0.401,0.426,33.02,27.08,318.07,90.0,N
4F_RESTAURANT_DINING_ROOM_2_1,EXTERNAL WALL,0.3,0.401,0.426,76.42,62.66,318.07,90.0,N
4F_KITCHEN_2_1,EXTERNAL WALL,0.3,0.401,0.426,33.71,27.65,166.25,90.0,S
4F_KITCHEN_2_2,EXTERNAL WALL,0.3,0.401,0.426,9.15,7.5,173.42,90.0,S
4F_KITCHEN_3_2,EXTERNAL WALL,0.3,0.401,0.426,70.5,57.81,318.07,90.0,N
4F_STAIRWAY_3,EXTERNAL WALL,0.3,0.401,0.426,24.98,20.48,58.1,90.0,E
4F_STAIRWAY_2_2,EXTERNAL WALL,0.3,0.401,0.426,24.59,20.16,58.1,90.0,E
4F_STAIRWAY_3_4,EXTERNAL WALL,0.3,0.401,0.426,56.69,46.49,150.21,90.0,S
4F_RESTROOMS_3,EXTERNAL WALL,0.3,0.401,0.426,91.45,74.99,318.07,90.0,N
4F_RESTROOMS_4,EXTERNAL WALL,0.3,0.401,0.426,13.41,11.0,277.06,90.0,W
4F_RESTROOMS_5,EXTERNAL WALL,0.3,0.401,0.426,14.66,12.02,231.79,90.0,W
4F_RESTROOMS_6,EXTERNAL WALL,0.3,0.401,0.426,43.66,35.8,182.87,90.0,S
4F_RESTROOMS_7,EXTERNAL WALL,0.3,0.401,0.426,57.33,47.01,151.59,90.0,S
4F_RETAIL-MALL_CONCOURSE_2_3,EXTERNAL WALL,0.3,0.401,0.426,43.7,35.83,58.1,90.0,E
4F_RESTAURANT_DINING_ROOM_3_8,EXTERNAL WALL,0.3,0.401,0.426,36.85,30.22,58.1,90.0,E
4F_RESTAURANT_DINING_ROOM_3_9,EXTERNAL WALL,0.3,0.401,0.426,17.56,14.4,66.62,90.0,E
4F_RESTAURANT_DINING_ROOM_3_10,EXTERNAL WALL,0.3,0.401,0.426,15.08,12.36,104.45,90.0,E
4F_RESTAURANT_DINING_ROOM_3_11,EXTERNAL WALL,0.3,0.401,0.426,16.98,13.93,144.96,90.0,S
4F_RESTAURANT_DINING_ROOM_3_12,EXTERNAL WALL,0.3,0.401,0.426,260.92,213.96,185.46,90.0,S
4F_RESTAURANT_DINING_ROOM_3_13,EXTERNAL WALL,0.3,0.401,0.426,72.12,59.14,173.51,90.0,S
4F_RESTAURANT_DINING_ROOM_4_2,EXTERNAL WALL,0.3,0.401,0.426,99.08,81.24,58.1,90.0,E
4F_RETAIL-SALES_AREA_7,EXTERNAL WALL,0.3,0.401,0.426,70.08,57.46,58.1,90.0,E
4F_RETAIL-SALES_AREA_8,EXTERNAL WALL,0.3,0.401,0.426,21.3,17.46,26.39,90.0,N
4F_RETAIL-SALES_AREA_9,EXTERNAL WALL,0.3,0.401,0.426,30.52,25.03,355.8,90.0,N
4F_RETAIL-SALES_AREA_10,EXTERNAL WALL,0.3,0.401,0.426,142.14,116.56,318.07,90.0,N
3F_RESTROOMS_3,EXTERNAL WALL,0.3,0.401,0.426,91.45,74.99,318.07,90.0,N
3F_RESTROOMS_4,EXTERNAL WALL,0.3,0.401,0.426,13.41,11.0,277.06,90.0,W
3F_RESTROOMS_5,EXTERNAL WALL,0.3,0.401,0.426,14.66,12.02,231.79,90.0,W
3F_RESTROOMS_6,EXTERNAL WALL,0.3,0.401,0.426,43.66,35.8,182.87,90.0,S
3F_RESTROOMS_7,EXTERNAL WALL,0.3,0.401,0.426,57.33,47.01,151.59,90.0,S
3F_STAIRWAY_4,EXTERNAL WALL,0.3,0.401,0.426,56.69,46.49,150.21,90.0,S
3F_STAIRWAY_2_2,EXTERNAL WALL,0.3,0.401,0.426,24.59,20.16,58.1,90.0,E
3F_STAIRWAY_3_3,EXTERNAL WALL,0.3,0.401,0.426,24.98,20.48,58.1,90.0,E
3F_KITCHEN_2_2,EXTERNAL WALL,0.3,0.401,0.426,70.5,57.81,318.07,90.0,N
3F_KITCHEN_3_1,EXTERNAL WALL,0.3,0.401,0.426,33.71,27.65,166.25,90.0,S
3F_KITCHEN_3_2,EXTERNAL WALL,0.3,0.401,0.426,9.15,7.5,173.42,90.0,S
3F_RESTAURANT_DINING_ROOM_1,EXTERNAL WALL,0.3,0.401,0.426,76.42,62.66,318.07,90.0,N
3F_RESTAURANT_DINING_ROOM_2_6,EXTERNAL WALL,0.3,0.401,0.426,33.02,27.08,318.07,90.0,N
3F_KITCHEN_4_1,EXTERNAL WALL,0.3,0.401,0.426,93.36,76.55,318.07,90.0,N
3F_LIFT_LOBBY_1,EXTERNAL WALL,0.3,0.401,0.426,12.78,10.48,150.0,90.0,S
3F_LIFT_2_1,EXTERNAL WALL,0.3,0.401,0.426,18.83,15.44,165.69,90.0,S
3F_ELECTRICAL_MECHANICAL_ROOM_3_1,EXTERNAL WALL,0.3,0.401,0.426,21.47,17.6,166.25,90.0,S
3F_RESTAURANT_DINING_ROOM_3_7,EXTERNAL WALL,0.3,0.401,0.426,70.08,57.46,58.1,90.0,E
3F_RESTAURANT_DINING_ROOM_3_8,EXTERNAL WALL,0.3,0.401,0.426,21.3,17.46,26.39,90.0,N
3F_RESTAURANT_DINING_ROOM_3_9,EXTERNAL WALL,0.3,0.401,0.426,30.52,25.03,355.8,90.0,N
3F_RESTAURANT_DINING_ROOM_3_10,EXTERNAL WALL,0.3,0.401,0.426,142.14,116.56,318.07,90.0,N
3F_RESTAURANT_DINING_ROOM_4_8,EXTERNAL WALL,0.3,0.401,0.426,36.85,30.22,58.1,90.0,E
3F_RESTAURANT_DINING_ROOM_4_9,EXTERNAL WALL,0.3,0.401,0.426,17.56,14.4,66.62,90.0,E
3F_RESTAURANT_DINING_ROOM_4_10,EXTERNAL WALL,0.3,0.401,0.426,15.08,12.36,104.45,90.0,E
3F_RESTAURANT_DINING_ROOM_4_11,EXTERNAL WALL,0.3,0.401,0.426,16.98,13.93,144.96,90.0,S
3F_RESTAURANT_DINING_ROOM_4_12,EXTERNAL WALL,0.3,0.401,0.426,260.92,213.96,185.46,90.0,S
3F_RESTAURANT_DINING_ROOM_4_13,EXTERNAL WALL,0.3,0.401,0.426,72.12,59.14,173.51,90.0,S
3F_RESTAURANT_DINING_ROOM_5_2,EXTERNAL WALL,0.3,0.401,0.426,99.08,81.24,58.1,90.0,E
3F_RETAIL-MALL_CONCOURSE_3_3,EXTERNAL WALL,0.3,0.401,0.426,43.7,35.83,58.1,90.0,E
2F_STAIRWAY_2,EXTERNAL WALL,0.3,0.401,0.426,24.59,20.16,58.1,90.0,E
2F_RESTAURANT_DINING_ROOM_2,EXTERNAL WALL,0.3,0.401,0.426,77.68,63.7,58.1,90.0,E
2F_STAIRWAY_2_3,EXTERNAL WALL,0.3,0.401,0.426,24.98,20.48,58.1,90.0,E
2F_STAIRWAY_3_7,EXTERNAL WALL,0.3,0.401,0.426,21.4,17.54,58.1,90.0,E
2F_ELECTRICAL_MECHANICAL_ROOM_3_4,EXTERNAL WALL,0.3,0.401,0.426,46.65,38.25,318.07,90.0,N
2F_RESTROOMS_3,EXTERNAL WALL,0.3,0.401,0.426,91.45,74.99,318.07,90.0,N
2F_RESTROOMS_4,EXTERNAL WALL,0.3,0.401,0.426,13.41,11.0,277.06,90.0,W
2F_RESTROOMS_5,EXTERNAL WALL,0.3,0.401,0.426,14.66,12.02,231.79,90.0,W
2F_RESTROOMS_6,EXTERNAL WALL,0.3,0.401,0.426,43.66,35.8,182.87,90.0,S
2F_RESTROOMS_7,EXTERNAL WALL,0.3,0.401,0.426,57.33,47.01,151.59,90.0,S
2F_STAIRWAY_4_4,EXTERNAL WALL,0.3,0.401,0.426,57.03,46.76,150.21,90.0,S
2F_LIFT_LOBBY_1,EXTERNAL WALL,0.3,0.401,0.426,12.44,10.2,150.0,90.0,S
2F_LIFT_2_1,EXTERNAL WALL,0.3,0.401,0.426,18.83,15.44,165.69,90.0,S
2F_RESTAURANT_DINING_ROOM_2_2,EXTERNAL WALL,0.3,0.401,0.426,92.18,75.59,318.07,90.0,N
2F_RESTAURANT_DINING_ROOM_2_3,EXTERNAL WALL,0.3,0.401,0.426,10.12,8.3,187.96,90.0,S
2F_RESTAURANT_DINING_ROOM_2_4,EXTERNAL WALL,0.3,0.401,0.426,30.12,24.7,278.2,90.0,W
2F_KITCHEN_2_1,EXTERNAL WALL,0.3,0.401,0.426,93.36,76.55,318.07,90.0,N
2F_KITCHEN_2_14,EXTERNAL WALL,0.3,0.401,0.426,36.49,29.92,5.89,90.0,N
