,AirLoop Name,People Outdoor Air Rate - Rp [m3/s-person],Zone Population - Pz,Area Outdoor Air Rate - Ra [m3/s-m2],Zone Floor Area - Az [m2],Breathing Zone Outdoor Airflow - Vbz [m3/s],Cooling Zone Air Distribution Effectiveness - Ez-clg,Cooling Zone Outdoor Airflow - Voz-clg [m3/s],Heating Zone Air Distribution Effectiveness - Ez-htg,Heating Zone Outdoor Airflow - Voz-htg [m3/s]
2F_KITCHEN_2,2.0,0.008,28.1536,0.0,140.77,0.2252,1.0,0.2252,1.0,0.2252
2F_RESTAURANT_DINING_ROOM_2,2.0,0.008,155.438,0.0,155.44,1.2435,1.0,1.2435,1.0,1.2435
1F_RETAIL-SALES_AREA_2,1.0,0.009,38.8773,0.0,155.51,0.3499,1.0,0.3499,1.0,0.3499
1F_RETAIL-SALES_AREA_3,1.0,0.009,31.654,0.0,126.62,0.2849,1.0,0.2849,1.0,0.2849
2F_RETAIL-MALL_CONCOURSE,2.0,0.008,189.0763,0.0,472.69,1.5126,1.0,1.5126,1.0,1.5126
2F_KITCHEN,2.0,0.008,14.6469,0.0,73.23,0.1172,1.0,0.1172,1.0,0.1172
4F_LIFT_LOBBY,4.0,0.008,2.8876,0.0,9.63,0.0231,1.0,0.0231,1.0,0.0231
4F_KITCHEN,4.0,0.008,28.1308,0.0,140.65,0.225,1.0,0.225,1.0,0.225
4F_RESTAURANT_DINING_ROOM,4.0,0.008,90.975,0.0,90.97,0.7278,1.0,0.7278,1.0,0.7278
4F_RESTAURANT_DINING_ROOM_2,4.0,0.008,69.1562,0.0,69.16,0.5532,1.0,0.5532,1.0,0.5532
4F_KITCHEN_2,4.0,0.008,14.6469,0.0,73.23,0.1172,1.0,0.1172,1.0,0.1172
4F_KITCHEN_3,4.0,0.008,8.822,0.0,44.11,0.0706,1.0,0.0706,1.0,0.0706
4F_KITCHEN_4,4.0,0.008,21.0345,0.0,105.17,0.1683,1.0,0.1683,1.0,0.1683
