,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
2F_KITCHEN_2,17.05,28.15,844.61,3.347,0.015,0.0,9.939
2F_RESTAURANT_DINING_ROOM_2,94.12,155.44,932.63,2.994,0.015,0.0,0.0
1F_RETAIL-SALES_AREA_2,23.54,38.88,1010.81,1.769,0.014,0.0,0.0
1F_RETAIL-SALES_AREA_3,19.17,31.65,823.0,1.812,0.014,0.0,0.0
2F_RETAIL-MALL_CONCOURSE,114.49,189.08,2836.14,1.404,0.015,0.0,0.0
2F_KITCHEN,8.87,14.65,439.41,3.189,0.015,0.0,9.945
4F_LIFT_LOBBY,1.75,2.89,57.75,1.747,0.015,0.0,0.0
4F_KITCHEN,17.03,28.13,843.92,3.22,0.015,0.0,9.941
4F_RESTAURANT_DINING_ROOM,55.09,90.97,545.85,2.904,0.015,0.0,0.0
4F_RESTAURANT_DINING_ROOM_2,41.88,69.16,414.94,3.019,0.015,0.0,0.0
4F_KITCHEN_2,8.87,14.65,439.41,3.06,0.015,0.0,9.947
4F_KITCHEN_3,5.34,8.82,264.66,3.476,0.015,0.0,9.944
4F_KITCHEN_4,12.74,21.03,631.03,3.029,0.015,0.0,9.949
4F_RETAIL-MALL_CONCOURSE,6.13,10.13,151.96,1.91,0.015,0.0,0.0
4F_RETAIL-MALL_CONCOURSE_2,6.63,10.94,164.13,1.996,0.015,0.0,0.0
4F_RESTAURANT_DINING_ROOM_3,285.93,472.2,2833.2,2.977,0.015,0.0,0.0
4F_RESTAURANT_DINING_ROOM_4,114.0,188.27,1129.64,3.012,0.015,0.0,0.0
4F_RETAIL-SALES_AREA,62.63,103.43,2482.34,1.921,0.015,0.0,0.0
4F_RETAIL-MALL_CONCOURSE_3,32.64,53.91,808.61,1.367,0.015,0.0,0.0
4F_RETAIL-MALL_CONCOURSE_4,61.26,101.17,1517.6,1.416,0.015,0.0,0.0
3F_RETAIL-MALL_CONCOURSE,6.13,10.13,151.96,2.12,0.015,0.0,0.0
3F_KITCHEN,12.74,21.03,631.03,3.311,0.015,0.0,9.949
3F_KITCHEN_2,5.34,8.82,264.66,3.978,0.015,0.0,9.944
3F_KITCHEN_3,8.87,14.65,439.41,3.459,0.015,0.0,9.947
3F_RESTAURANT_DINING_ROOM,41.88,69.16,414.94,3.12,0.015,0.0,0.0
3F_RESTAURANT_DINING_ROOM_2,55.09,90.97,545.85,3.0,0.015,0.0,0.0
3F_KITCHEN_4,17.03,28.13,843.92,3.622,0.015,0.0,9.941
3F_LIFT_LOBBY,1.75,2.89,57.75,1.958,0.015,0.0,0.0
3F_RESTAURANT_DINING_ROOM_3,250.52,413.72,2482.34,3.017,0.015,0.0,0.0
3F_RESTAURANT_DINING_ROOM_4,285.93,472.2,2833.2,3.102,0.015,0.0,0.0
3F_RESTAURANT_DINING_ROOM_5,114.0,188.27,1129.64,3.07,0.015,0.0,0.0
3F_RETAIL-MALL_CONCOURSE_2,114.49,189.08,10.0,390.79,4.265,0.0,0.0
3F_RETAIL-MALL_CONCOURSE_3,6.63,10.94,164.13,2.094,0.015,0.0,0.0
2F_RESTAURANT_DINING_ROOM,58.86,97.21,583.23,3.096,0.015,0.0,0.0
2F_LIFT_LOBBY,1.7,2.81,56.27,1.792,0.015,0.0,0.0
2F_RETAIL-MALL_CONCOURSE_2,6.19,10.22,153.27,1.919,0.015,0.0,0.0
2F_RETAIL-SALES_AREA,62.63,103.43,2482.34,1.913,0.015,0.0,0.0
2F_KITCHEN_3,12.73,21.03,630.87,3.068,0.015,0.0,9.946
2F_RESTAURANT_DINING_ROOM_3,285.91,472.17,2833.04,2.947,0.015,0.0,0.0
2F_RETAIL-MALL_CONCOURSE_3,6.63,10.94,164.13,1.907,0.015,0.0,0.0
1F_RETAIL-SALES_AREA,26.38,43.57,1132.7,1.81,0.014,0.0,0.0
1F_KITCHEN,8.76,14.46,469.98,3.501,0.014,0.0,9.945
1F_OFFICE_ENCLOSED,2.31,4.1,177.61,1.904,0.014,0.0,0.0
1F_RETAIL-MALL_CONCOURSE,6.62,10.93,177.61,2.164,0.014,0.0,0.0
1F_RESTAURANT_DINING_ROOM,157.08,259.41,1686.2,2.846,0.014,0.0,0.0
1F_LIFT_LOBBY,1.7,2.81,60.96,1.597,0.014,0.0,0.0
1F_KITCHEN_2,5.81,9.6,312.05,3.212,0.014,0.0,9.949
1F_RESTAURANT_DINING_ROOM_2,243.72,402.49,2616.16,2.693,0.014,0.0,0.0
1F_RETAIL-MALL_CONCOURSE_2,157.44,260.01,4223.78,1.292,0.014,0.0,0.0
