,Electricity Annual Value [kWh],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
Electricity:Facility,2084909.2,36594.71,01-JAN-00:10,470026.95,02-AUG-15:30
Electricity:Building,1272278.42,13957.18,01-JAN-00:10,262069.5,02-JAN-10:10
Electricity:Zone:4F_LIFT_LOBBY,267.57,3.08,01-JAN-00:10,55.44,01-JAN-10:10
InteriorLights:Electricity,535849.19,6170.25,01-JAN-00:10,111064.54,02-JAN-10:10
InteriorLights:Electricity:Zone:4F_LIFT_LOBBY,267.57,3.08,01-JAN-00:10,55.44,01-JAN-10:10
General:InteriorLights:Electricity,535849.19,6170.25,01-JAN-00:10,111064.54,02-JAN-10:10
Electricity:Zone:3F_LIFT_LOBBY,267.57,3.08,01-JAN-00:10,55.44,01-JAN-10:10
InteriorLights:Electricity:Zone:3F_LIFT_LOBBY,267.57,3.08,01-JAN-00:10,55.44,01-JAN-10:10
Electricity:Zone:2F_LIFT_LOBBY,260.69,3.0,01-JAN-00:10,54.02,01-JAN-10:10
InteriorLights:Electricity:Zone:2F_LIFT_LOBBY,260.69,3.0,01-JAN-00:10,54.02,01-JAN-10:10
Electricity:Zone:1F_LIFT_LOBBY,260.69,3.0,01-JAN-00:10,54.02,01-JAN-10:10
InteriorLights:Electricity:Zone:1F_LIFT_LOBBY,260.69,3.0,01-JAN-00:10,54.02,01-JAN-10:10
Electricity:Zone:5F_ELECTRICAL_MECHANICAL_ROOM,20501.4,211.34,01-JAN-00:10,4195.39,01-JAN-10:10
InteriorLights:Electricity:Zone:5F_ELECTRICAL_MECHANICAL_ROOM,8159.42,93.93,01-JAN-00:10,1690.68,01-JAN-10:10
Electricity:Zone:5F_ELECTRICAL_MECHANICAL_ROOM_2,20322.95,209.52,01-JAN-00:10,4158.93,01-JAN-10:10
InteriorLights:Electricity:Zone:5F_ELECTRICAL_MECHANICAL_ROOM_2,8089.34,93.12,01-JAN-00:10,1676.16,01-JAN-10:10
Electricity:Zone:4F_ELECTRICAL_MECHANICAL_ROOM,3120.96,32.17,01-JAN-00:10,638.67,01-JAN-10:10
InteriorLights:Electricity:Zone:4F_ELECTRICAL_MECHANICAL_ROOM,1242.12,14.3,01-JAN-00:10,257.37,01-JAN-10:10
Electricity:Zone:4F_ELECTRICAL_MECHANICAL_ROOM_2,5965.43,61.49,01-JAN-00:10,1220.76,01-JAN-10:10
InteriorLights:Electricity:Zone:4F_ELECTRICAL_MECHANICAL_ROOM_2,2374.2,27.33,01-JAN-00:10,491.95,01-JAN-10:10
