,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Above Ground Gross Wall Area [m2],Underground Gross Wall Area [m2],Window Glass Area [m2],Opening Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
2F_RETAIL-MALL_CONCOURSE,472.69,Yes,Yes,2836.14,1.0,0.0,0.0,0.0,0.0,13.6,2.5,10.0
2F_KITCHEN,73.23,Yes,Yes,439.41,1.0,42.86,0.0,7.72,7.72,9.6,5.0,10.0
5F_ELECTRICAL_MECHANICAL_ROOM,234.82,No,Yes,1408.9,1.0,315.53,0.0,56.8,56.8,8.0, ,10.0
5F_ELECTRICAL_MECHANICAL_ROOM_2,232.8,No,Yes,1395.25,1.0,310.69,0.0,55.92,55.92,8.0, ,10.0
5F_LIFT,47.6,No,Yes,285.61,1.0,50.23,0.0,9.04,9.04,0.0, ,0.0
4F_ELECTRICAL_MECHANICAL_ROOM,35.75,No,Yes,214.48,1.0,21.47,0.0,3.86,3.86,8.0, ,10.0
4F_LIFT,15.17,No,Yes,90.99,1.0,18.83,0.0,3.39,3.39,0.0, ,0.0
4F_LIFT_LOBBY,9.63,Yes,Yes,57.75,1.0,12.78,0.0,2.3,2.3,6.4,3.33,0.0
4F_KITCHEN,140.65,Yes,Yes,843.92,1.0,93.36,0.0,16.8,16.8,9.6,5.0,10.0
4F_RESTAURANT_DINING_ROOM,90.97,Yes,Yes,545.85,1.0,33.02,0.0,5.94,5.94,13.6,1.0,20.0
4F_RESTAURANT_DINING_ROOM_2,69.16,Yes,Yes,414.94,1.0,76.42,0.0,13.76,13.76,13.6,1.0,20.0
4F_KITCHEN_2,73.23,Yes,Yes,439.41,1.0,42.86,0.0,7.72,7.72,9.6,5.0,10.0
4F_ELECTRICAL_MECHANICAL_ROOM_2,68.33,No,Yes,409.96,1.0,0.0,0.0,0.0,0.0,8.0, ,10.0
4F_KITCHEN_3,44.11,Yes,Yes,264.66,1.0,70.5,0.0,12.69,12.69,9.6,5.0,10.0
4F_ELECTRICAL_MECHANICAL_ROOM_3,16.8,No,Yes,100.8,1.0,0.0,0.0,0.0,0.0,8.0, ,10.0
4F_LIFT_2,30.94,No,Yes,185.64,1.0,0.0,0.0,0.0,0.0,0.0, ,0.0
4F_STAIRWAY,47.79,No,Yes,286.73,1.0,24.98,0.0,4.5,4.5,6.0, ,0.0
4F_STAIRWAY_2,25.19,No,Yes,151.14,1.0,24.59,0.0,4.43,4.43,6.0, ,0.0
4F_KITCHEN_4,105.17,Yes,Yes,631.03,1.0,0.0,0.0,0.0,0.0,9.6,5.0,10.0
4F_STAIRWAY_3,42.95,No,Yes,257.71,1.0,56.69,0.0,10.2,10.2,6.0, ,0.0
4F_RETAIL-MALL_CONCOURSE,25.33,Yes,Yes,151.96,1.0,0.0,0.0,0.0,0.0,13.6,2.5,10.0
4F_RESTROOMS,167.55,No,Yes,1005.33,1.0,220.53,0.0,39.69,39.69,8.0, ,0.0
4F_RETAIL-MALL_CONCOURSE_2,27.35,Yes,Yes,164.13,1.0,43.7,0.0,7.87,7.87,13.6,2.5,10.0
4F_RESTAURANT_DINING_ROOM_3,472.2,Yes,Yes,2833.2,1.0,419.52,0.0,75.51,75.51,13.6,1.0,20.0
4F_RESTAURANT_DINING_ROOM_4,188.27,Yes,Yes,1129.64,1.0,99.08,0.0,17.83,17.83,13.6,1.0,20.0
4F_RETAIL-SALES_AREA,413.72,Yes,Yes,2482.34,1.0,264.04,0.0,47.53,47.53,13.6,4.0,30.0
4F_RETAIL-MALL_CONCOURSE_3,134.77,Yes,Yes,808.61,1.0,0.0,0.0,0.0,0.0,13.6,2.5,10.0
4F_RETAIL-MALL_CONCOURSE_4,252.93,Yes,Yes,1517.6,1.0,0.0,0.0,0.0,0.0,13.6,2.5,10.0
4F_VOID,84.99,Yes,Yes,509.93,1.0,0.0,0.0,0.0,0.0,0.0, ,0.0
3F_RESTROOMS,167.55,No,Yes,1005.33,1.0,220.53,0.0,39.69,39.69,8.0, ,0.0
3F_RETAIL-MALL_CONCOURSE,25.33,Yes,Yes,151.96,1.0,0.0,0.0,0.0,0.0,13.6,2.5,10.0
3F_STAIRWAY,42.95,No,Yes,257.71,1.0,56.69,0.0,10.2,10.2,6.0, ,0.0
3F_KITCHEN,105.17,Yes,Yes,631.03,1.0,0.0,0.0,0.0,0.0,9.6,5.0,10.0
3F_STAIRWAY_2,25.19,No,Yes,151.14,1.0,24.59,0.0,4.43,4.43,6.0, ,0.0
3F_STAIRWAY_3,47.79,No,Yes,286.73,1.0,24.98,0.0,4.5,4.5,6.0, ,0.0
3F_LIFT,30.94,No,Yes,185.64,1.0,0.0,0.0,0.0,0.0,0.0, ,0.0
3F_ELECTRICAL_MECHANICAL_ROOM,16.8,No,Yes,100.8,1.0,0.0,0.0,0.0,0.0,8.0, ,10.0
3F_KITCHEN_2,44.11,Yes,Yes,264.66,1.0,70.5,0.0,12.69,12.69,9.6,5.0,10.0
3F_ELECTRICAL_MECHANICAL_ROOM_2,68.33,No,Yes,409.96,1.0,0.0,0.0,0.0,0.0,8.0, ,10.0
3F_KITCHEN_3,73.23,Yes,Yes,439.41,1.0,42.86,0.0,7.72,7.72,9.6,5.0,10.0
3F_RESTAURANT_DINING_ROOM,69.16,Yes,Yes,414.94,1.0,76.42,0.0,13.76,13.76,13.6,1.0,20.0
3F_RESTAURANT_DINING_ROOM_2,90.97,Yes,Yes,545.85,1.0,33.02,0.0,5.94,5.94,13.6,1.0,20.0
3F_KITCHEN_4,140.65,Yes,Yes,843.92,1.0,93.36,0.0,16.8,16.8,9.6,5.0,10.0
3F_LIFT_LOBBY,9.63,Yes,Yes,57.75,1.0,12.78,0.0,2.3,2.3,6.4,3.33,0.0
3F_LIFT_2,15.17,No,Yes,90.99,1.0,18.83,0.0,3.39,3.39,0.0, ,0.0
3F_ELECTRICAL_MECHANICAL_ROOM_3,35.75,No,Yes,214.48,1.0,21.47,0.0,3.86,3.86,8.0, ,10.0
3F_RESTAURANT_DINING_ROOM_3,413.72,Yes,Yes,2482.34,1.0,264.04,0.0,47.53,47.53,13.6,1.0,20.0
3F_RESTAURANT_DINING_ROOM_4,472.2,Yes,Yes,2833.2,1.0,419.52,0.0,75.51,75.51,13.6,1.0,20.0
3F_RESTAURANT_DINING_ROOM_5,188.27,Yes,Yes,1129.64,1.0,99.08,0.0,17.83,17.83,13.6,1.0,20.0
3F_RETAIL-MALL_CONCOURSE_2,472.69,Yes,Yes,10.0,1.0,0.0,0.0,0.0,0.0,13.6,2.5,10.0
3F_RETAIL-MALL_CONCOURSE_3,27.35,Yes,Yes,164.13,1.0,43.7,0.0,7.87,7.87,13.6,2.5,10.0
2F_STAIRWAY,25.19,No,Yes,151.14,1.0,24.59,0.0,4.43,4.43,6.0, ,0.0
2F_ELECTRICAL_MECHANICAL_ROOM,21.14,No,Yes,126.86,1.0,0.0,0.0,0.0,0.0,8.0, ,10.0
2F_RESTAURANT_DINING_ROOM,97.21,Yes,Yes,583.23,1.0,77.68,0.0,13.98,13.98,13.6,1.0,20.0
2F_STAIRWAY_2,47.79,No,Yes,286.73,1.0,24.98,0.0,4.5,4.5,6.0, ,0.0
2F_ELECTRICAL_MECHANICAL_ROOM_2,16.8,No,Yes,100.8,1.0,0.0,0.0,0.0,0.0,8.0, ,10.0
