Unnamed: 0,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W],Multipliers,User Design Load [W]_floor
2F_KITCHEN_2,31339.83,39174.78,278.29,2.338,2.9219999999999997,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.008,10.7,0.008,0.225,0.0,1.0,39174.78
2F_RESTAURANT_DINING_ROOM_2,0.0,0.0,0.0,0.0,1.244,ANN HTG 99.6% CONDNS DB, ,0.0,20.0,0.008,10.7,0.008,1.244,0.0,1.0,0.0
1F_RETAIL-SALES_AREA_2,0.0,0.0,0.0,0.0,0.35,ANN HTG 99.6% CONDNS DB, ,0.0,20.0,0.008,10.7,0.008,0.35,0.0,1.0,0.0
1F_RETAIL-SALES_AREA_3,0.0,0.0,0.0,0.0,0.285,ANN HTG 99.6% CONDNS DB, ,0.0,20.0,0.008,10.7,0.008,0.285,0.0,1.0,0.0
2F_RETAIL-MALL_CONCOURSE,0.0,0.0,0.0,0.0,1.5130000000000001,ANN HTG 99.6% CONDNS DB, ,0.0,20.0,0.008,10.7,0.008,1.5130000000000001,0.0,1.0,0.0
2F_KITCHEN,14999.66,18749.58,256.02,1.119,1.399,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.008,10.7,0.008,0.11699999999999999,0.0,1.0,18749.58
4F_LIFT_LOBBY,679.93,849.91,88.3,0.051,0.063,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.00817,10.7,0.008,0.023,0.0,1.0,849.91
4F_KITCHEN,31095.95,38869.94,276.35,2.32,2.9,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.008,10.7,0.008,0.225,0.0,1.0,38869.94
4F_RESTAURANT_DINING_ROOM,0.0,0.0,0.0,0.0,0.728,ANN HTG 99.6% CONDNS DB, ,0.0,20.0,0.008,10.7,0.008,0.728,0.0,1.0,0.0
4F_RESTAURANT_DINING_ROOM_2,0.0,0.0,0.0,0.0,0.5529999999999999,ANN HTG 99.6% CONDNS DB, ,0.0,20.0,0.008,10.7,0.008,0.5529999999999999,0.0,1.0,0.0
4F_KITCHEN_2,14731.03,18413.78,251.44,1.099,1.374,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.008,10.7,0.008,0.11699999999999999,0.0,1.0,18413.78
4F_KITCHEN_3,9447.39,11809.24,267.72,0.705,0.8809999999999999,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.008,10.7,0.008,0.071,0.0,1.0,11809.24
4F_KITCHEN_4,20716.99,25896.24,246.23,1.545,1.932,ANN HTG 99.6% CONDNS DB,1/21 08:00:00,20.0,20.0,0.008,10.7,0.008,0.168,0.0,1.0,25896.24
4F_RETAIL-MALL_CONCOURSE,1824.1,2280.12,90.03,0.136,0.17,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.00828,10.7,0.008,0.081,0.0,1.0,2280.12
4F_RETAIL-MALL_CONCOURSE_2,500.91,626.14,22.89,0.037000000000000005,0.08800000000000001,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.01037,10.7,0.008,0.08800000000000001,0.0,1.0,626.14
4F_RESTAURANT_DINING_ROOM_3,0.0,0.0,0.0,0.0,3.778,ANN HTG 99.6% CONDNS DB, ,0.0,20.0,0.008,10.7,0.008,3.778,0.0,1.0,0.0
4F_RESTAURANT_DINING_ROOM_4,686.39,857.99,4.56,0.051,1.506,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.011179999999999999,10.7,0.008,1.506,0.0,1.0,857.99
4F_RETAIL-SALES_AREA,3462.94,4328.68,10.46,0.258,0.9309999999999999,ANN HTG 99.6% CONDNS DB,1/21 07:00:00,20.0,20.0,0.01126,10.7,0.008,0.9309999999999999,0.0,1.0,4328.68
